Who were the United Empire Loyalists?,Settlers who came to Canada from the United States during the American Revolution.,Aboriginal peoples.,Métis,Inuit.
What does Confederation mean?,Joining of provinces to make a new country.,The United States Confederate soldiers came to Canada.,Joining of communities to become a province.,Joining of suburbs to form a large city.
What year was Confederation?,1867.,1871.,1898.,1864.
When did the British North America Act come into effect?,1867.,1871.,1898.,1905.
Which province was split into two at Confederation?,The Province of Canada,Lower Canada,Newfoundland,Upper Canada
Which was the last province to join Canada?,Newfoundland.,Alberta.,Saskatchewan.,British Columbia.
When is Canada Day and what does it celebrate?,We celebrate the anniversary of Confederation July 1st of each year.,June 15 of each year to celebrate the anniversary of Confederation.,August 8th of each year to celebrate the joining of British Columbia to Confederation.,May 21st of each year to remember Queen Victoria.
What part of the Constitution legally protects the basic rights and freedoms of all Canadians?,The Canadian Charter of Rights and Freedoms.,The British Charter of Rights and Freedoms.,The Canadian Charter of Rights.,The Canadian Charter of Freedoms.
When did the Canadian Charter of Rights and Freedoms become part of the Canadian Constitution?,1982.,1867.,1905.,1878.
Who were the Voyagers?,Montreal-based traders who travelled by canoe,Immigrants to Canada in the 18th Century,Explorers searching for the North-West Passage,Geographers who first charted the coastline of British Columbia
Give an example of how you can show responsibility by participating in your community.,Volunteer.,Mind your own business.,Have a party.,Keep your property tidy.
What happened at the Battle of the Plains of Abraham?,The British defeated the French marking the end of France's empire in America,The Voyagers battled with the British for fur trading rights,Americans fought the United Empire Loyalists during the American Revolution,The French defeated the British in a battle for Quebec
What will you promise when you take the Oath of Citizenship?,Pledge allegiance to the Queen, observe the laws of Canada and fulfil the duties of a Canadian.,Pledge to be faithful to the Queen.,Promise to observe the laws of Canada.,Fulfil duties as a Canadian citizen.
What are the two official languages of Canada?,English and French.,English and Métis.,Inuktitut and French.,English and Inuktitut.
Give an example of where English and French have equal status in Canada.,In the Parliament of Canada.,In schools.,In the workplace.,At City Hall.
Where do most French-speaking Canadians live?,Quebec.,Ontario.,Nova Scotia.,Prince Edward Island.
In Canada's justice system what does "presumption of innocence" mean?,Everyone is innocent until proven guilty,Everyone is guilty until proven innocent,Guilt is decided by public opinion,Innocence is decided by public opinion
What does the Canadian flag look like?,White with a red border on each end and a red maple leaf in the centre.,Red and white with provincial emblems.,Red and white with a beaver.,Red with a white maple leaf.
Give the first line of Canada's national anthem?,O Canada! Our home and native land!,O Canada! Our province and native land!,O Canada! From far and wide, O Canada, We stand on guard for thee.,O Canada! We stand on guard for thee.
From where does the name "Canada" come from?,From "Kanata", the Huron-Iroquois word for village.,From the Inuit word meaning country.,From the French word meaning joining.,From the Métis word meaning rivers.
What is the capital city of Canada?,Ottawa.,Toronto.,Montreal.,Hull.
What are the provinces of Central Canada and their capital cities?,Ontario (Toronto) and Quebec (Quebec City).,Manitoba (Winnipeg) and Ontario (Toronto).,Quebec (Quebec City) and Prince Edward Island (Charlottetown).,Saskatchewan (Regina) and Manitoba Winnipeg).
Name the five regions of Canada,Atlantic, Central, Prairie, West Coast, and North,Midwest, North, South, East, Central,Maritimes, Ontario, Quebec, Prairies, and British Columbia,West, Central, East, Prairies, and Territories
Which region covers more than one-third of Canada?,Northern Territories.,Central Canada.,Prairies.,Atlantic Canada.
Where are the Great Lakes?,Between Ontario and the United States,Manitoba.,Northern Quebec.,Atlantic Canada.
Where are the Parliament Buildings located?,Ottawa.,Quebec City.,Hull.,Toronto.
In what industry do most Canadians work?,Service.,Natural resources,Tourism.,Manufacturing.
What is the name of the Governor General?,Julie Payette,David Johnston.,Elizabeth May.,Dalton McGuinty.
What do you call the Sovereign's representative in the provinces?,Lieutenant-Governor.,Premier.,Member of the Legislative Assembly.,Senator.
What do you call a law before it is passed?,A Bill.,A New law.,A Proposed law.,A New proposal.
Who do Members of Parliament represent?,Everyone who lives in his or her electoral district.,All of the Canadians living in the north.,Only Canadians living in Central Canada.,Canadians living in the province in which he/she was elected.
What do you mark on a federal election ballot?,An "X".,The candidate's name.,The number for the candidate.,The voter's name.
How is the Prime Minister chosen?,The leader of the party with the most elected representatives becomes the Prime Minister.,The Queen appoints the Prime Minister.,The Governor General with the Senate appoint the Prime Minister.,The MPs vote on the Prime Minister.
Which party becomes the Official Opposition?,The party with the second most MPs.,The party receiving the least votes.,Any independent candidate.,The party the Prime Minister selects.
What is the role of the Opposition parties?,To oppose or try to improve government proposals.,To assist the Prime Minister.,To sign bills.,To put forward bills to be passed.
Which party is the Official Opposition at the federal level?,The Conservative Party.,The New Democratic Party.,The Liberal Party.,The Independent Party.
