What is the name of the Royal Anthem of Canada?,God Save the Queen (or King),O Canada,La Marseillaise,The Star-Spangled Banner
When did the British North America Act come into effect?,1867,1871,1898,1905
What is the meaning of the Remembrance Day poppy?,To remember the sacrifice of Canadians who have served or died in wars up to the present day,To honour Prime Ministers who have died,To celebrate Confederation,To remember our Sovereign, Queen Elizabeth II
Which province is the only officially bilingual province?,New Brunswick,Quebec,Ontario,Prince Edward Island
What are the provinces of Central Canada and their capital cities?,Ontario (Toronto) and Quebec (Quebec City),Manitoba (Winnipeg) and Ontario (Toronto),Quebec (Quebec City) and Prince Edward Island (Charlottetown),Saskatchewan (Regina) and Manitoba Winnipeg)
Who are the Métis?,A distinct people of mixed Aboriginal and European ancestry.,The distinct aboriginal people of Atlantic Canada.,A people of mixed Inuit/First Nations ancestry most of whom live on the Prairies.,First Nations people speaking the Michif dialect.
What does Confederation mean?,Joining of provinces to make a new country.,The United States Confederate soldiers came to Canada.,Joining of communities to become a province.,Joining of suburbs to form a large city.
Which province was split into two at Confederation?,The Province of Canada,Lower Canada,Newfoundland,Upper Canada
Who was the first Prime Minister of Canada?,Sir John A. Macdonald.,Louis Riel.,Lester B. Pearson.,Abraham Lincoln.
What part of the Constitution legally protects the basic rights and freedoms of all Canadians?,The Canadian Charter of Rights and Freedoms.,The British Charter of Rights and Freedoms.,The Canadian Charter of Rights.,The Canadian Charter of Freedoms.
Name two fundamental freedoms protected by the Canadian Charter of Rights and Freedoms.,Freedom of conscience and religion, and Freedom of association.,Equality rights, and to care for Canada's heritage.,Basic freedoms, and obeying laws.,Aboriginal peoples' rights, and to volunteer.
Who were the Voyagers?,Montreal-based traders who travelled by canoe,Immigrants to Canada in the 18th Century,Explorers searching for the North-West Passage,Geographers who first charted the coastline of British Columbia
Name six responsibilities of citizenship.,Obeying the law, taking responsibility for oneself and one's family, helping others in the community, voting in elections, serving on a jury, protecting and enjoying our heritage and environment.,Getting a job, making money, raising a family, paying taxes, mowing your lawn, voting in provincial elections.,Voting in municipal elections only, joining a political party, getting a job, obeying the law, driving safely, picking up litter.,Caring for the environment, not littering, paying taxes, obeying the law, helping others, respecting others.
Give an example of how you can show responsibility by participating in your community.,Volunteer.,Mind your own business.,Have a party.,Keep your property tidy.
Give an example of where English and French have equal status in Canada.,In the Parliament of Canada.,In schools.,In the workplace.,At City Hall.
In Canada's justice system what does "presumption of innocence" mean?,Everyone is innocent until proven guilty,Everyone is guilty until proven innocent,Guilt is decided by public opinion,Innocence is decided by public opinion
What does the Canadian flag look like?,White with a red border on each end and a red maple leaf in the centre.,Red and white with provincial emblems.,Red and white with a beaver.,Red with a white maple leaf.
Give the first line of Canada's national anthem?,O Canada! Our home and native land!,O Canada! Our province and native land!,O Canada! From far and wide, O Canada, We stand on guard for thee.,O Canada! We stand on guard for thee.
From where does the name "Canada" come from?,From "Kanata", the Huron-Iroquois word for village.,From the Inuit word meaning country.,From the French word meaning joining.,From the Métis word meaning rivers.
Which animal is an official symbol of Canada?,The beaver.,The moose.,The hawk.,The deer.
What is the capital city of Canada?,Ottawa.,Toronto.,Montreal.,Hull.
What are the Prairie provinces and their capital cities?,Alberta (Edmonton), Saskatchewan (Regina) and Manitoba (Winnipeg).,Alberta (Edmonton) and Saskatchewan (Regina).,Saskatchewan (Regina) and Manitoba (Winnipeg).,Saskatchewan (Regina), Manitoba (Winnipeg) and Ontario (Toronto).
Which region covers more than one-third of Canada?,Northern Territories.,Central Canada.,Prairies.,Atlantic Canada.
One third of all Canadians live in which province?,Ontario.,Quebec.,Northwest Territories.,Manitoba.
Where are the Great Lakes?,Between Ontario and the United States,Manitoba.,Northern Quebec.,Atlantic Canada.
Where are the Parliament Buildings located?,Ottawa.,Quebec City.,Hull.,Toronto.
Which province in Canada is the smallest in land size?,Prince Edward Island.,Nova Scotia.,Yukon Territory.,Newfoundland and Labrador.
